empresa,ano,retorno_anual,ceo,chairman,ibrx,industria
VVAR11,2017,1.32,0,0,1,
GOLL4,2009,1.63,0,0,1,
GOLL4,2010,-0.01,0,0,1,
GOLL4,2011,-0.5,0,0,1,
GOLL4,2012,0.08,0,1,1,
GOLL4,2013,-0.19,0,1,1,
GOLL4,2014,0.45,0,1,1,
GOLL4,2015,-0.83,0,1,1,
GOLL4,2016,0.93,0,1,1,
GOLL4,2017,2.02,0,1,1,
GOLL4,2018,0.72,0,1,1,
GOLL4,2019,0.49,0,1,1,
GRND3,2016,0.12,1,1,1,
GRND3,2017,0.7,1,1,1,
GVTT3,2009,1.21,1,0,1,
HAPV3,2019,1.07,0,1,1,
HYPE3,2010,0.13,0,1,1,
HYPE3,2011,-0.62,0,1,1,
HYPE3,2012,0.95,0,1,1,
HYPE3,2013,0.07,0,1,1,
HYPE3,2014,-0.06,0,1,1,
HYPE3,2015,0.3,0,1,1,
HYPE3,2016,0.22,0,1,1,
HYPE3,2017,0.48,0,1,1,
HYPE3,2018,-0.11,0,1,1,
HYPE3,2019,0.22,0,0,1,
IGTA3,2012,0.59,1,1,1,
IGTA3,2014,0.12,1,1,1,
IGTA3,2015,-0.22,1,1,1,
IGTA3,2016,0.38,1,1,1,
IGTA3,2017,0.52,1,1,1,
IGTA3,2018,0.08,1,1,1,
IGTA3,2019,0.3,1,1,1,
MYPK3,2011,0.11,0,0,1,
MYPK3,2012,0.1,0,0,1,
MYPK3,2013,-0.02,0,0,1,
MYPK3,2015,0.03,0,0,1,
MYPK3,2016,-0.03,0,0,1,
MYPK3,2017,0.95,0,0,1,
MYPK3,2018,0.08,0,0,1,
MYPK3,2019,-0.01,0,0,1,
IRBR3,2018,1.57,0,0,1,
IRBR3,2019,0.45,0,0,1,
ITUB4,2009,0.67,0,0,1,
ITUB4,2010,0.05,0,0,1,
ITUB4,2011,-0.11,0,0,1,
ITUB4,2012,0.03,0,0,1,
ITUB4,2013,0.07,0,0,1,
ITUB4,2014,0.25,0,0,1,
ITUB4,2015,-0.12,0,0,1,
ITUB4,2016,0.49,0,0,1,
ITUB4,2017,0.32,0,0,1,
ITUB4,2018,0.33,0,0,1,
ITUB4,2019,0.13,0,0,1,
ITSA4,2009,0.73,0,0,1,
ITSA4,2010,0.15,0,0,1,
ITSA4,2011,-0.1,0,0,1,
ITSA4,2012,0,0,0,1,
ITSA4,2013,0.06,0,0,1,
ITSA4,2014,0.21,0,0,1,
ITSA4,2015,-0.14,0,0,1,
ITSA4,2016,0.41,0,0,1,
ITSA4,2017,0.41,0,0,1,
ITSA4,2018,0.34,0,0,1,
ITSA4,2019,0.28,0,0,1,
JBSS3,2009,0.89,0,0,1,
JBSS3,2010,-0.23,0,0,1,
JBSS3,2011,-0.14,0,0,1,
JBSS3,2012,-0.06,0,0,1,
JBSS3,2013,0.48,0,0,1,
JBSS3,2014,0.29,0,0,1,
JBSS3,2015,0.11,0,0,1,
JBSS3,2016,-0.04,0,0,1,
JBSS3,2017,-0.14,1,0,1,
JBSS3,2018,0.19,0,0,1,
JBSS3,2019,1.23,0,0,1,
JHSF3,2009,1.49,1,0,1,
JHSF3,2010,-0.01,1,0,1,
KEPL3,2010,-0.03,0,0,1,
KLBN4,2009,0.66,0,0,1,
KLBN4,2010,0.15,0,0,1,
KLBN4,2011,0.41,0,0,1,
KLBN4,2012,0.71,0,0,1,
KLBN4,2013,0.04,0,0,1,
LIGT3,2009,0.34,0,0,1,
LIGT3,2010,0.15,0,0,1,
LIGT3,2011,0.23,0,0,1,
LIGT3,2012,-0.16,0,0,1,
LIGT3,2013,0.04,0,0,1,
LIGT3,2014,-0.15,0,0,1,
LIGT3,2015,-0.39,0,0,1,
LIGT3,2016,0.92,0,0,1,
LIGT3,2017,-0.03,0,0,1,
LIGT3,2018,0,0,0,1,
LIGT3,2019,0.45,0,0,1,
LINX3,2017,0.27,0,1,1,
LINX3,2018,0.54,0,1,1,
LINX3,2019,0.09,0,1,1,
RENT3,2009,1.76,1,1,1,
RENT3,2010,0.4,1,1,1,
RENT3,2011,-0.02,1,1,1,
RENT3,2012,0.44,1,1,1,
RENT3,2013,-0.03,1,1,1,
RENT3,2014,0.09,1,1,1,
RENT3,2015,-0.29,1,1,1,
RENT3,2016,0.44,1,1,1,
RENT3,2017,1.13,1,1,1,
RENT3,2018,0.36,1,1,1,
RENT3,2019,0.69,1,0,1,
LOGG3,2018,-0.08,0,1,1,
LAME4,2009,1.49,0,0,1,
LAME4,2010,-0.01,0,0,1,
LAME4,2011,-0.04,0,0,1,
LAME4,2012,0.67,0,0,1,
LAME4,2013,-0.14,0,0,1,
LAME4,2014,0.38,0,0,1,
LAME4,2015,0.13,0,0,1,
LAME4,2016,0.03,0,0,1,
LAME4,2017,0.01,0,0,1,
LAME4,2018,0.16,0,0,1,
LAME4,2019,0.33,0,0,1,
LREN3,2009,1.54,0,0,1,
LREN3,2010,0.48,0,0,1,
LREN3,2011,-0.09,0,0,1,
LREN3,2012,0.7,0,0,1,
LREN3,2013,-0.21,0,0,1,
LREN3,2014,0.28,0,0,1,
LREN3,2015,0.14,0,0,1,
LREN3,2016,0.36,0,0,1,
LREN3,2017,0.7,0,0,1,
LREN3,2018,0.21,0,0,1,
LREN3,2019,0.48,0,0,1,
LUPA3,2009,0.16,0,1,1,
LUPA3,2010,-0.29,0,1,1,
MDIA3,2014,-0.08,0,0,1,
MDIA3,2015,-0.26,0,0,1,
MDIA3,2016,0.77,0,0,1,
MDIA3,2017,0.4,0,0,1,
MDIA3,2018,-0.17,0,0,1,
MDIA3,2019,-0.11,0,0,1,
MGLU3,2012,0.31,0,0,1,
MGLU3,2014,0.05,0,0,1,
MGLU3,2016,4.91,0,1,1,
MGLU3,2017,5.11,0,1,1,
MGLU3,2018,1.26,0,1,1,
MGLU3,2019,1.12,0,1,1,
MAGG3,2009,1.2,0,0,1,
MAGG3,2010,-0.29,0,0,1,
LEVE3,2016,-0.14,0,0,1,
POMO4,2011,0.09,1,1,1,
POMO4,2012,0.89,1,1,1,
POMO4,2013,-0.2,1,1,1,
POMO4,2014,-0.32,1,1,1,
POMO4,2015,-0.43,1,1,1,
POMO4,2016,0.57,1,1,1,
POMO4,2017,0.42,1,0,1,
POMO4,2018,0.06,1,0,1,
MRFG3,2009,1.61,1,0,1,
MRFG3,2010,-0.19,1,0,1,
MRFG3,2011,-0.43,1,0,1,
MRFG3,2012,0.02,1,0,1,
MRFG3,2013,-0.53,1,0,1,
MRFG3,2014,0.52,0,0,1,
MRFG3,2015,0.04,0,0,1,
MRFG3,2016,0.06,0,0,1,
MRFG3,2017,0.11,0,0,1,
MRFG3,2018,-0.25,0,0,1,
MRFG3,2019,0.82,0,0,1,
GGBR3,2009,0.77,0,0,1,
GGBR3,2010,-0.22,0,0,1,
GGBR3,2011,-0.31,0,0,1,
GGBR3,2012,0.31,0,0,1,
GGBR3,2013,0.04,0,0,1,
GGBR3,2014,-0.51,0,0,1,
GGBR3,2015,-0.85,0,0,1,
GGBR3,2016,1.94,0,0,1,
GGBR3,2017,0.22,0,0,1,
GGBR3,2018,0.23,0,0,1,
GGBR3,2019,0.37,0,0,1,
MILS3,2013,-0.01,0,0,1,
MILS3,2014,-0.71,0,0,1,
MILS3,2015,-0.72,0,0,1,
BEEF3,2013,0.02,0,1,1,
BEEF3,2014,-0.14,0,1,1,
BEEF3,2015,0.34,0,1,1,
BEEF3,2016,-0.05,0,1,1,
BEEF3,2017,-0.09,0,1,1,
BEEF3,2018,-0.53,0,1,1,
BEEF3,2019,1.57,0,0,1,
MMXM3,2009,3.46,0,1,1,
MMXM3,2010,0.12,0,1,1,
MMXM3,2011,-0.41,0,1,1,
MMXM3,2012,-0.31,0,1,1,
MMXM3,2013,-0.84,0,1,1,
MMXM3,2014,-0.83,0,1,1,
MRVE3,2009,3.38,1,1,1,
MRVE3,2010,0.14,1,1,1,
MRVE3,2011,-0.32,1,1,1,
MRVE3,2012,0.16,1,1,1,
MRVE3,2013,-0.27,0,1,1,
MRVE3,2014,-0.07,0,1,1,
MRVE3,2015,0.21,0,1,1,
MRVE3,2016,0.29,0,1,1,
MRVE3,2017,0.43,0,1,1,
MRVE3,2018,-0.02,0,1,1,
MRVE3,2019,0.85,0,1,1,
MULT3,2010,0.15,1,1,1,
MULT3,2011,0.09,1,1,1,
MULT3,2012,0.65,1,1,1,
MULT3,2013,-0.15,1,1,1,
MULT3,2014,-0.03,1,1,1,
MULT3,2015,-0.18,1,0,1,
MULT3,2016,0.55,1,0,1,
MULT3,2017,0.24,1,0,1,
MULT3,2018,0.05,1,0,1,
MULT3,2019,0.38,1,0,1,
