"empresa","ano","retorno_anual","ceo","chairman","ibrx","ceo_chair"
"BICB4",2016,NA,0,0,0,0
"BICB4",2017,NA,0,0,0,0
"BICB4",2018,NA,0,0,0,0
"BICB4",2019,NA,0,0,0,0
"BIDI11",2009,NA,0,0,0,0
"BIDI11",2010,NA,0,0,0,0
"BIDI11",2011,NA,0,0,0,0
"BIDI11",2012,NA,0,0,0,0
"BIDI11",2013,NA,0,0,0,0
"BIDI11",2014,NA,0,0,0,0
"BIDI11",2015,NA,0,0,0,0
"BIDI11",2016,NA,0,0,0,0
"BIDI11",2017,NA,0,1,0,1
"BIDI11",2018,NA,0,1,0,1
"BIDI11",2019,0.06,0,1,1,1
"BNCA3",2009,NA,0,0,0,0
"BNCA3",2010,NA,0,0,0,0
"BNCA3",2011,NA,0,0,0,0
"BNCA3",2012,NA,0,0,0,0
"BNCA3",2013,NA,0,0,0,0
"BNCA3",2014,NA,0,0,0,0
"BNCA3",2015,NA,0,0,0,0
"BNCA3",2016,NA,0,0,0,0
"BNCA3",2017,NA,0,0,0,0
"BNCA3",2018,NA,0,0,0,0
"BNCA3",2019,NA,0,0,0,0
"BPAN4",2009,NA,0,0,0,0
"BPAN4",2010,NA,0,0,0,0
"BPAN4",2011,0.5,0,0,1,0
"BPAN4",2012,NA,0,0,0,0
"BPAN4",2013,NA,0,0,0,0
"BPAN4",2014,NA,0,0,0,0
"BPAN4",2015,NA,0,0,0,0
"BPAN4",2016,NA,0,0,0,0
"BPAN4",2017,NA,0,0,0,0
"BPAN4",2018,NA,0,0,0,0
"BPAN4",2019,NA,0,0,0,0
"SANB11",2009,NA,0,0,0,0
"SANB11",2010,-0.01,0,0,1,0
"SANB11",2011,-0.3,0,0,1,0
"SANB11",2012,0.06,0,0,1,0
"SANB11",2013,-0.02,0,0,1,0
"SANB11",2014,0.12,0,0,1,0
"SANB11",2015,0.28,0,0,1,0
"SANB11",2016,0.95,0,0,1,0
"SANB11",2017,0.16,0,0,1,0
"SANB11",2018,0.41,0,0,1,0
"SANB11",2019,0.21,0,0,1,0
"BBSE3",2009,NA,0,0,0,0
"BBSE3",2010,NA,0,0,0,0
"BBSE3",2011,NA,0,0,0,0
"BBSE3",2012,NA,0,0,0,0
"BBSE3",2013,NA,0,0,0,0
"BBSE3",2014,0.37,0,0,1,0
"BBSE3",2015,-0.2,0,0,1,0
"BBSE3",2016,0.25,0,0,1,0
"BBSE3",2017,0.08,0,0,1,0
"BBSE3",2018,0.09,0,0,1,0
"BBSE3",2019,0.44,0,0,1,0
"B3SA3",2009,1.1,0,0,1,0
"B3SA3",2010,0.12,0,0,1,0
"B3SA3",2011,-0.2,0,0,1,0
"B3SA3",2012,0.48,0,0,1,0
"B3SA3",2013,-0.17,0,0,1,0
"B3SA3",2014,-0.08,0,0,1,0
"B3SA3",2015,0.18,0,0,1,0
"B3SA3",2016,0.56,0,0,1,0
"B3SA3",2017,0.41,0,0,1,0
"B3SA3",2018,0.21,0,0,1,0
"B3SA3",2019,0.64,0,0,1,0
"BRML3",2009,1.36,1,0,1,1
"BRML3",2010,0.61,1,0,1,1
"BRML3",2011,0.08,1,0,1,1
"BRML3",2012,0.51,1,0,1,1
"BRML3",2013,-0.36,1,0,1,1
"BRML3",2014,-0.01,1,0,1,1
"BRML3",2015,-0.31,1,0,1,1
"BRML3",2016,0.36,1,0,1,1
"BRML3",2017,0.25,0,0,1,0
"BRML3",2018,0.03,0,0,1,0
"BRML3",2019,0.48,0,0,1,0
"BRPR3",2009,NA,0,0,0,0
